row,cell,Cell_Label,Z_Height_mm,RPM,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Hit_Point_Confidence,Hit_Detected,Hit_Reasons
1,4,4kcP,-65.92,8,7.05,0.974067,0.994398,-12.775,100,0.4,FALSE,hit_r2_cv (R�=0.9741); hit_r2_slope (R�=0.8844)
1,4,4kcP,-65.94,8,7.38625,0.97787,0.996082,-14.4125,78.125,0.4,FALSE,hit_2nd_deriv_slope (-4093.7500); hit_r2_slope (R�=0.8680)
1,4,4kcP,-65.96,8,8.0875,0.830909,0.954689,-19.28125,912.5,1,TRUE,hit_2nd_deriv_drag (912.5000); hit_2nd_deriv_cv (33.0850); hit_2nd_deriv_slope (-12171.8750); hit_r2_drag (R�=0.9547); hit_r2_cv (R�=0.8309); hit_r2_slope (R�=0.7515)
1,4,4kcP,-65.98,8,8.375,0.916483,0.976079,-21.4875,-1034.375,1,TRUE,hit_2nd_deriv_drag (-1034.3750); hit_2nd_deriv_cv (-35.4098); hit_2nd_deriv_slope (-5515.6250); hit_r2_cv (R�=0.9165); hit_r2_slope (R�=0.8837)
1,4,4kcP,-66,8,7.7725,0.198048,0.525982,-12.16875,-2225,1,TRUE,hit_2nd_deriv_drag (-2225.0000); hit_2nd_deriv_cv (-59.9768); hit_2nd_deriv_slope (23296.8750); hit_r2_drag (R�=0.5260); hit_r2_cv (R�=0.1980); hit_r2_slope (R�=0.2454)
1,5,5kcP_bluesil,-65.5,9,1.836667,0,0,0,0,0,FALSE,insufficient_data
1,5,5kcP_bluesil,-65.52,9,2.505556,0,0,0,0,0,FALSE,insufficient_data
1,5,5kcP_bluesil,-65.54,9,2.931111,0,0,0,0,0,FALSE,insufficient_data
1,5,5kcP_bluesil,-65.56,9,3.171111,0,0,0,0,0,FALSE,insufficient_data
1,5,5kcP_bluesil,-65.58,9,3.311111,0,0,0,0,0,FALSE,insufficient_data
1,5,5kcP_bluesil,-65.6,9,3.462222,0,0,0,0,0,FALSE,insufficient_data
1,5,5kcP_bluesil,-65.62,9,3.568889,0,0,0,0,0,FALSE,insufficient_data
1,5,5kcP_bluesil,-65.64,9,3.697778,0,0.99685,-6.555556,55.555556,0,FALSE,
1,5,5kcP_bluesil,-65.66,9,3.811111,0.819749,0.99711,-6.177778,-38.888889,0.2,FALSE,hit_r2_cv (Rｲ=0.8197)
1,5,5kcP_bluesil,-65.68,9,3.926667,0.796743,0.999385,-5.855556,5.555556,0.4,FALSE,hit_r2_cv (Rｲ=0.7967); hit_r2_slope (Rｲ=0.8986)
1,5,5kcP_bluesil,-65.7,9,4.052222,0.839062,0.999523,-5.977778,25,0.4,FALSE,hit_r2_cv (Rｲ=0.8391); hit_r2_slope (Rｲ=0.4966)
1,5,5kcP_bluesil,-65.72,9,4.186667,0.839619,0.998653,-6.094444,22.222222,0.4,FALSE,hit_r2_cv (Rｲ=0.8396); hit_r2_slope (Rｲ=0.8950)
1,5,5kcP_bluesil,-65.74,9,4.322222,0.53871,0.998911,-6.411111,2.777778,0.4,FALSE,hit_r2_cv (Rｲ=0.5387); hit_r2_slope (Rｲ=0.7667)
1,5,5kcP_bluesil,-65.76,9,4.467778,0.202718,0.999318,-6.761111,25,0.4,FALSE,hit_r2_cv (Rｲ=0.2027); hit_r2_slope (Rｲ=0.8868)
1,5,5kcP_bluesil,-65.78,9,4.611111,0.759551,0.99968,-6.994444,-5.555556,0.4,FALSE,hit_r2_cv (Rｲ=0.7596); hit_r2_slope (Rｲ=0.8989)
1,5,5kcP_bluesil,-65.8,9,4.798889,0.907712,0.996022,-7.566667,111.111111,0.4,FALSE,hit_r2_cv (Rｲ=0.9077); hit_r2_slope (Rｲ=0.7837)
1,5,5kcP_bluesil,-65.82,9,4.962222,0.921368,0.997321,-8.055556,-61.111111,0.4,FALSE,hit_r2_cv (Rｲ=0.9214); hit_r2_slope (Rｲ=0.8986)
1,5,5kcP_bluesil,-65.84,9,5.177778,0.925807,0.995755,-8.855556,130.555556,0.4,FALSE,hit_r2_cv (Rｲ=0.9258); hit_r2_slope (Rｲ=0.8459)
1,5,5kcP_bluesil,-65.86,9,5.367778,0.987959,0.99841,-9.461111,-63.888889,0.2,FALSE,hit_r2_slope (Rｲ=0.9000)
1,5,5kcP_bluesil,-65.88,9,5.63,0.98624,0.993958,-10.338889,180.555556,0.4,FALSE,hit_2nd_deriv_drag (180.5556); hit_r2_slope (Rｲ=0.8612)
1,5,5kcP_bluesil,-65.9,9,5.875556,0.987885,0.996633,-11.394444,-41.666667,0.2,FALSE,hit_r2_slope (Rｲ=0.8803)
1,5,5kcP_bluesil,-65.92,9,6.7,0.667115,0.897335,-17.761111,1447.222222,1,TRUE,hit_2nd_deriv_drag (1447.2222); hit_2nd_deriv_slope (-15916.6667); hit_r2_drag (Rｲ=0.8973); hit_r2_cv (Rｲ=0.6671); hit_r2_slope (Rｲ=0.6459)
1,5,5kcP_bluesil,-65.94,9,6.684444,0.814466,0.915982,-18.516667,-2100,0.8,TRUE,hit_2nd_deriv_drag (-2100.0000); hit_r2_drag (Rｲ=0.9160); hit_r2_cv (Rｲ=0.8145); hit_r2_slope (Rｲ=0.8024)
