row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected
1,4,,-65.6,1.3,20.07,30.87,23.746154,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,4,,-65.62,1.3,20.08,31.69,24.376923,0,0.999268,-32.5,-192.307692,-192.307692,1.35699,0,0.999268,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,FALSE
1,4,,-65.64,1.3,20.08,32.66,25.123077,0.630595,0.998381,-33.307692,288.461538,288.461538,-0.183348,-2019.230769,0.998381,0.630595,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,0.2,FALSE
1,4,,-65.66,1.3,25.02,33.66,25.892308,0.047754,0.998762,-35.423077,57.692308,57.692308,3.683591,-5288.461538,0.998762,0.047754,0.77272,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,4,,-65.68,1.3,25.04,34.73,26.715385,0.726969,0.997761,-37.269231,134.615385,134.615385,-1.074468,-4615.384615,0.997761,0.726969,0.898078,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,4,,-65.7,1.3,25.02,35.79,27.530769,0.928316,0.999542,-39.5,-19.230769,-19.230769,0.689166,-5576.923077,0.999542,0.928316,0.879842,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,4,,-65.72,1.3,20.08,36.96,28.430769,0.985431,0.999261,-41.269231,211.538462,211.538462,-1.506578,-4423.076923,0.999261,0.985431,0.899746,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,4,0.2,FALSE
1,4,,-65.74,1.3,25.04,38.17,29.361538,0.985274,0.999082,-43.269231,76.923077,76.923077,0.355495,-5000,0.999082,0.985274,0.885187,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
1,4,,-65.76,1.3,25.04,39.63,30.484615,0.935668,0.996408,-46.846154,480.769231,480.769231,3.674335,-8942.307692,0.996408,0.935668,0.833504,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,4,,-65.78,1.3,25.04,41.05,31.576923,0.923101,0.997455,-50.730769,-76.923077,-76.923077,-0.026557,-9711.538462,0.997455,0.923101,0.888006,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,4,,-65.8,1.3,25.04,42.69,32.838462,0.973626,0.997456,-55.153846,423.076923,423.076923,0.587581,-11057.69231,0.997456,0.973626,0.884649,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,4,,-65.82,1.3,25.04,44.52,34.246154,0.994974,0.997097,-60.615385,365.384615,365.384615,1.511815,-13653.84615,0.997097,0.994974,0.87793,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
