pathway_name,sample_id,label,cell,rpm,provider_bucket,viscosity_bucket_kcp,mu_true_cP,mu_pred_cP,abs_pct_err,R2_drag,A
app_v4_reference,l10000_sl_a11860,l10000_sl_a11860,18,4.2,sil_sl,5-15,11860.0,9780.061013065404,17.537428220359157,,4.197451078568843
current_fixed_logic,l1000_b_a1000,l1000_b_a1000,1,43.0,b,0-5,1000.0,1479.3919704245027,47.93919704245027,0.9999183063781163,0.6349321761478552
old_app_v6_p2007,l1000_b_a1000,l1000_b_a1000,1,43.0,b,0-5,1000.0,7603.484015119298,660.3484015119299,0.9978472018403182,0.36268434006119304
linear_plus_middle_trim,l1000_b_a1000,l1000_b_a1000,1,43.0,b,0-5,1000.0,585.7941021597212,41.420589784027875,0.9941523887811103,0.17573823064791635
app_v4_reference,l1000_b_a1000,l1000_b_a1000,1,43.0,b,0-5,1000.0,1479.3919704245027,47.93919704245027,,0.6349321761478552
current_fixed_logic,l1000_sl_a1154,l1000_sl_a1154,2,43.0,sil_sl,0-5,1154.0,965.5678129578808,16.32861239533095,0.7350078484562974,0.28967034388736423
old_app_v6_p2007,l1000_sl_a1154,l1000_sl_a1154,2,43.0,sil_sl,0-5,1154.0,7100.092244352156,515.2592932714173,0.7420279743177863,0.3160991086846833
linear_plus_middle_trim,l1000_sl_a1154,l1000_sl_a1154,2,43.0,sil_sl,0-5,1154.0,700.2935819664154,39.31598076547527,0.41379880844519157,0.21008807458992462
app_v4_reference,l1000_sl_a1154,l1000_sl_a1154,2,43.0,sil_sl,0-5,1154.0,2281.31896229284,97.68795167182321,,0.979106850769459
current_fixed_logic,l1000_sl_a1154,l1000_sl_a1154,2,43.0,sil_sl,0-5,1154.0,1548.7988161981632,34.21133589238849,0.9990348624351072,0.6647205219734605
old_app_v6_p2007,l1000_sl_a1154,l1000_sl_a1154,2,43.0,sil_sl,0-5,1154.0,7404.602695410869,541.6466807115138,0.9953875084704733,0.34389548578031115
linear_plus_middle_trim,l1000_sl_a1154,l1000_sl_a1154,2,43.0,sil_sl,0-5,1154.0,417.685037032108,63.80545606307555,0.9887553429584599,0.1253055111096324
app_v4_reference,l1000_sl_a1154,l1000_sl_a1154,2,43.0,sil_sl,0-5,1154.0,1548.7988161981632,34.21133589238849,,0.6647205219734605
current_fixed_logic,l12500_b_14590,l12500_b_14590,1,3.5,b,5-15,14590.0,17780.328919244792,21.866545025666838,0.9999308607487356,7.6310424546114985
old_app_v6_p2007,l12500_b_14590,l12500_b_14590,1,3.5,b,5-15,14590.0,22426.465792921077,53.7112117403775,0.9916400231240128,3.179167742361453
linear_plus_middle_trim,l12500_b_14590,l12500_b_14590,1,3.5,b,5-15,14590.0,5571.384405016166,61.813677827168156,0.9915213479857347,1.6714153215048497
app_v4_reference,l12500_b_14590,l12500_b_14590,1,3.5,b,5-15,14590.0,17780.328919244792,21.866545025666838,,7.6310424546114985
current_fixed_logic,l12500_b_14590,l12500_b_14590,2,3.5,b,5-15,14590.0,18020.902870174767,23.51544119379552,0.9996733310931017,7.734293077328225
old_app_v6_p2007,l12500_b_14590,l12500_b_14590,2,3.5,b,5-15,14590.0,22412.999035540848,53.61891045607161,0.9943489289675748,3.1753374520908437
linear_plus_middle_trim,l12500_b_14590,l12500_b_14590,2,3.5,b,5-15,14590.0,6127.44498246272,58.00243329360714,0.9945565984557623,1.8382334947388157
app_v4_reference,l12500_b_14590,l12500_b_14590,2,3.5,b,5-15,14590.0,18020.902870174767,23.51544119379552,,7.734293077328225
current_fixed_logic,l12500_b_14590,l12500_b_14590,3,3.5,b,5-15,14590.0,16896.223369713585,15.80687710564486,0.9997071907004026,7.251598012752611
old_app_v6_p2007,l12500_b_14590,l12500_b_14590,3,3.5,b,5-15,14590.0,21313.47193991057,46.082741191984724,0.9972839364561445,2.8704198428477867
linear_plus_middle_trim,l12500_b_14590,l12500_b_14590,3,3.5,b,5-15,14590.0,6202.1947897944365,57.490097396885275,0.9976174690329557,1.8606584369383308
app_v4_reference,l12500_b_14590,l12500_b_14590,3,3.5,b,5-15,14590.0,16896.223369713585,15.80687710564486,,7.251598012752611
current_fixed_logic,l12500_b_14590,l12500_b_14590,4,3.5,b,5-15,14590.0,16604.89378089064,13.810101308366287,0.9998162009263892,7.126563854459503
old_app_v6_p2007,l12500_b_14590,l12500_b_14590,4,3.5,b,5-15,14590.0,22437.960940845667,53.78999959455563,0.995092586177428,3.182439089336724
linear_plus_middle_trim,l12500_b_14590,l12500_b_14590,4,3.5,b,5-15,14590.0,6347.13080839718,56.49670453463208,0.9952604769797756,1.904139242519154
app_v4_reference,l12500_b_14590,l12500_b_14590,4,3.5,b,5-15,14590.0,16604.89378089064,13.810101308366287,,7.126563854459503
current_fixed_logic,l12500_b_14590,l12500_b_14590,5,3.5,b,5-15,14590.0,15609.606008619694,6.988389366824497,0.999740791428126,6.699401720437637
old_app_v6_p2007,l12500_b_14590,l12500_b_14590,5,3.5,b,5-15,14590.0,22163.741280039427,51.910495408083804,0.9958416790111003,3.104860458529431
linear_plus_middle_trim,l12500_b_14590,l12500_b_14590,5,3.5,b,5-15,14590.0,7013.193522075768,51.93150430379872,0.9969302687250149,2.10395805662273
